Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
1.0,0,0,0,0,-0.444,2.43,5029.0,-0.027,0
0.957,0,0,0,0,-0.093,1.08,5029.0,-0.027,0
1.0,0,0,0,0,-0.395,2.72,5527.0,-0.075,0
1.0,0,0,0,0,-0.594,3.14,5527.0,-0.075,0
1.0,0,0,0,0,-0.11,1.36,5527.0,-0.075,0
1.0,0,0,0,0,-0.125,3.09,5869.0,-0.105,0
1.0,0,0,0,0,-0.028,2.64,5527.0,-0.075,0
1.0,0,0,0,0,-0.061,10.6,5560.0,-0.189,0
0.0,0,0,1,1,-6.594,540.37,4187.0,-0.024,1
1.0,0,0,0,0,-0.314,2.68,5198.0,-0.102,0
1.0,0,0,0,0,-0.095,2.42,5569.0,-0.08,0
1.0,0,0,0,0,-0.053,9.66,6123.0,-0.217,0
0.0,0,1,1,1,-0.108,24.54,5525.0,-0.12,1
0.999,0,0,0,0,-0.039,13.61,6033.0,-0.192,0
0.0,0,0,1,1,-0.599,3.57,5936.0,-0.196,1
0.92,0,1,0,0,-0.003,13.26,5510.0,-0.11,1
0.0,0,1,0,0,-0.005,27.22,6140.0,-0.201,1
1.0,0,0,0,0,-0.54,3.94,5609.0,-0.188,0
0.0,0,1,0,0,-0.029,4.37,5931.0,-0.175,1
0.996,0,0,0,0,-0.042,10.98,5231.0,-0.049,0
0.0,0,1,0,0,-0.011,29.66,6257.0,-0.216,1
1.0,0,0,0,0,-0.5,2.6,5481.0,-0.112,0
1.0,0,0,0,0,-0.168,2.53,5196.0,-0.097,0
1.0,0,0,0,0,-0.206,2.95,5196.0,-0.097,0
1.0,0,0,0,0,-0.466,1.7,5196.0,-0.097,0
1.0,0,0,0,0,-0.686,2.94,5431.0,-0.156,0
0.0,0,1,0,0,-0.023,20.7,5855.0,-0.084,1
1.0,0,0,0,0,-0.001,3.13,5897.0,-0.213,0
1.0,0,0,0,0,-0.647,4.06,6225.0,-0.216,0
0.0,0,1,0,0,-0.008,26.56,6108.0,-0.221,1
1.0,0,0,0,0,-0.032,3.82,6007.0,-0.208,0
0.0,0,1,1,0,-0.088,44.04,6192.0,-0.208,1
1.0,0,0,0,0,-0.433,2.11,5553.0,-0.101,0
1.0,0,0,0,0,-0.341,2.06,5553.0,-0.101,0
1.0,0,0,0,0,-0.271,1.57,5553.0,-0.101,0
1.0,0,0,0,0,-0.425,2.3,5553.0,-0.101,0
1.0,0,0,0,0,-0.041,3.18,5085.0,-0.032,0
0.999,0,0,0,0,-0.054,10.43,5524.0,-0.045,0
0.0,0,1,1,0,-0.216,23.88,5450.0,-0.135,1
1.0,0,0,0,0,-0.033,4.09,5561.0,-0.103,0
0.998,0,0,0,0,-0.021,2.58,5561.0,-0.103,0
1.0,0,0,0,0,-0.478,3.05,5561.0,-0.103,0
1.0,0,0,0,0,-0.065,5.5,6035.0,-0.112,0
1.0,0,0,0,0,-0.142,5.22,6035.0,-0.112,0
0.973,0,0,0,0,-0.147,4.0,6035.0,-0.112,0
0.975,0,0,0,0,-0.331,1.94,6035.0,-0.112,0
0.953,0,0,0,0,-0.081,2.13,3582.0,-0.045,0
0.704,0,0,0,0,-0.009,1.24,3582.0,-0.045,0
0.996,0,0,0,0,-0.009,10.62,5514.0,-0.11,0
1.0,0,0,0,0,-0.256,2.74,5537.0,-0.17,0
1.0,0,0,0,0,-0.035,3.12,5344.0,-0.096,0
0.998,0,0,0,0,-0.037,1.45,5344.0,-0.096,0
0.949,0,0,0,0,-0.294,1.78,5344.0,-0.096,0
1.0,0,1,0,0,-0.007,39.0,5047.0,-0.027,1
1.0,0,0,0,0,-0.521,3.43,5896.0,-0.105,0
1.0,0,0,0,0,-6.938,43.17,5896.0,-0.105,0
0.999,0,0,0,0,-0.711,2.07,5896.0,-0.105,0
1.0,0,0,0,0,-0.415,7.12,6520.0,-0.224,0
1.0,0,0,0,0,-0.068,2.32,5551.0,-0.063,0
0.6752517825334929,0,0,0,0,-0.1157,3.87,6449.0,-0.27,0
1.0,0,0,0,0,-0.154,1.32,5630.0,-0.128,0
0.965,0,0,0,0,-0.185,1.84,5757.0,-0.144,0
0.4640490828155099,1,0,0,1,-0.259,35.74,6167.0,-0.264,1
0.0,0,1,0,0,-0.064,59.56,5075.0,-0.303,1
0.0,0,1,0,0,-0.041,23.6,6113.0,-0.208,1
