Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Transit Duration Upper,Transit Depth,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius Upper,Disposition Using Kepler Data
1.0,0,0,0,0,2.494170338,0.0175,864.0,5569.0,4.566,0.02,0.082,0
1.0,0,0,0,0,6.491682808,0.0272,7160.0,6123.0,4.413,0.072,0.375,0
0.0,0,1,1,1,3.044770796,0.0663,1700.0,5525.0,4.603,0.032,0.15,1
0.999,0,0,0,0,3.855603916,0.0101,16700.0,6033.0,4.46,0.048,0.292,0
0.0,0,0,1,1,3.855599139,0.0616,1030.0,5936.0,4.501,0.046,0.268,1
0.92,0,1,0,0,38.47876629,0.00343,23500.0,5510.0,4.539,0.019,0.118,1
0.0,0,1,0,0,37.60166128,0.00855,59100.0,6140.0,4.354,0.124,0.331,1
1.0,0,0,0,0,3.314947362,0.0284,1400.0,5609.0,4.481,0.062,0.266,0
0.0,0,1,0,0,6.71969089,0.0879,970.0,5931.0,4.479,0.094,0.21,1
0.996,0,0,0,0,39.6431552,0.00694,15700.0,5231.0,4.455,0.091,0.059,0
0.0,0,1,0,0,51.42598578,0.0148,66100.0,6257.0,4.41,0.054,0.358,1
1.0,0,0,0,0,21.80451611,0.0714,1140.0,5481.0,4.629,0.028,0.127,0
1.0,0,0,0,0,10.28194593,0.0541,1110.0,5196.0,4.593,0.026,0.111,0
1.0,0,0,0,0,18.11993039,0.0581,1510.0,5196.0,4.593,0.026,0.111,0
1.0,0,0,0,0,3.78402867,0.0678,426.0,5196.0,4.593,0.026,0.111,0
1.0,0,0,0,0,5.15448142,0.122,698.0,5431.0,4.457,0.104,0.19,0
0.0,0,1,0,0,33.80364366,0.0187,13500.0,5855.0,3.999,0.196,0.281,1
