Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
0.0,0,1,1,1,3.747838198,1.121,0.0445,-0.0445,-1.04,266.76,0.0,5514.0,-149.0,4.569,0.029,0.826,-0.063,13.496,1
0.992,0,0,0,0,14.74914825,0.173,0.044,-0.044,-0.1,137.91,0.0,5847.0,-75.0,4.191,0.02,1.402,-0.046,12.487,0
1.0,0,0,0,0,21.81295996,0.053,0.091,-0.091,-0.49,39.33,0.0,5601.0,-166.0,4.41,0.116,0.999,-0.145,15.54,0
0.0,0,1,0,0,7.91936937,0.733,0.0209,-0.0209,-0.87,104.0,0.0,5690.0,-172.0,4.588,0.04,0.776,-0.065,15.805,1
0.789972056671793,0,0,0,0,1.028436523,1.5734,0.034,-0.034,-8.6,3400.48,0.0,6228.0,-219.0,4.428,0.077,0.99,-0.117,15.202,0
1.0,0,0,0,0,15.37562369,0.692,0.0645,-0.0645,-0.82,30.54,0.0,4986.0,-79.0,4.496,0.075,0.833,-0.062,16.422,0
1.0,0,0,0,0,8.10363271,0.047,0.0635,-0.0635,-0.2,52.82,0.0,4861.0,-146.0,4.574,0.054,0.732,-0.068,15.289,0
1.0,0,0,0,0,4.71510843,0.258,0.103,-0.103,-0.14,108.84,0.0,4861.0,-146.0,4.574,0.054,0.732,-0.068,15.289,0
1.0,0,0,0,0,6.365839713,0.524,0.0408,-0.0408,-0.21,165.33,0.0,5776.0,-155.0,4.554,0.042,0.849,-0.071,15.09,0
0.037,0,0,1,0,5.97581754,0.941,0.185,-0.185,-0.44,284.25,0.0,6108.0,-214.0,4.471,0.054,0.997,-0.114,15.546,1
0.0,0,0,1,1,2.446737317,1.241,0.0546,-0.0546,-2.47,597.19,0.0,5764.0,-171.0,4.548,0.035,0.863,-0.081,15.021,1
1.0,0,0,0,0,3.04033046,0.736,0.0168,-0.0168,-0.99,257.29,0.0,5035.0,-151.0,4.519,0.084,0.791,-0.087,15.028,0
1.0,0,0,0,0,15.33528675,0.773,0.0771,-0.0771,-0.18,32.67,0.0,5251.0,-105.0,4.581,0.01,0.817,-0.029,15.855,0
0.998,0,0,0,0,7.95825328,0.706,0.229,-0.229,-0.04,314.15,0.0,5847.0,-75.0,4.191,0.02,1.402,-0.046,12.487,0
1.0,0,0,0,0,31.33046135,0.798,0.102,-0.102,-0.23,12.61,0.0,5251.0,-105.0,4.581,0.01,0.817,-0.029,15.855,0
0.006,0,1,0,0,3.9043425,0.709,0.0271,-0.0271,-1.19,351.05,0.0,5810.0,-175.0,4.526,0.05,0.898,-0.087,15.016,1
0.0,0,1,0,0,9.286358079,0.377,0.00533,-0.00533,-1.87,95.03,0.0,5670.0,-169.0,4.523,0.066,0.821,-0.087,15.365,1
0.0,0,1,0,0,3.951405455,1.276,0.0267,-0.0267,-2.96,388.71,0.0,6046.0,-182.0,4.539,0.048,0.869,-0.082,15.446,1
0.999,0,0,0,0,23.65369415,0.008,0.021,-0.021,-1.52,67.65,0.0,5739.0,-103.0,4.191,0.162,1.384,-0.266,15.084,0
0.996,0,0,0,0,13.23352214,0.014,0.0875,-0.0875,-0.58,146.67,0.0,5739.0,-103.0,4.191,0.162,1.384,-0.266,15.084,0
0.997,0,0,0,0,6.15560285,0.235,0.0994,-0.0994,-0.45,406.94,0.0,5739.0,-103.0,4.191,0.162,1.384,-0.266,15.084,0
