Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter,mpact Parameter Upper,Impact Parameter Lower,Transit Duration Upper,Transit Depth Upper,Planetary Radius Lower,Equilibrium Temperature,Insolation Flux Lower ,TCE Planet Number,Stellar Effective Temperature,Stellar Effective Temperature Upper,Stellar Radius,Disposition Using Kepler Data
0.999,0,0,0,0,0.26,0.145,-0.26,0.0634,32.1,-0.26,397.0,-1.64,2.0,4702.0,128.0,0.686,0
1.0,0,0,0,0,0.458,0.004,-0.377,0.0224,14.1,-0.82,1234.0,-194.78,1.0,6073.0,190.0,1.135,0
1.0,0,0,0,0,0.023,0.323,-0.023,0.0265,20.1,-0.28,1151.0,-72.1,1.0,5727.0,77.0,0.978,0
1.0,0,0,0,0,0.791,0.091,-0.541,0.112,18.1,-0.47,727.0,-21.98,1.0,5878.0,158.0,0.987,0
0.985,0,0,0,0,0.782,0.002,-0.003,0.00935,47.3,-1.21,554.0,-5.87,1.0,5862.0,177.0,0.785,0
0.942,0,0,0,0,0.527,0.08,-0.309,0.13,25.9,-1.52,452.0,-3.87,1.0,5510.0,82.0,1.238,0
0.0,0,1,1,0,1.266,6.924,-0.102,0.0327,44.4,-2.74,954.0,-54.73,1.0,4968.0,151.0,0.704,1
0.912,0,0,0,0,0.686,0.015,-0.505,0.0669,4.9,-0.08,712.0,-7.34,1.0,5718.0,85.0,1.317,0
1.0,0,0,0,0,0.029,0.429,-0.029,0.0602,17.4,-0.31,777.0,-27.32,1.0,5501.0,164.0,0.918,0
1.0,0,0,0,0,0.867,0.011,-0.613,0.0875,26.7,-0.36,613.0,-9.37,1.0,5239.0,174.0,0.826,0
0.998,0,0,0,0,0.778,0.006,-0.008,0.0606,91.7,-0.52,188.0,-0.04,1.0,4245.0,85.0,0.657,0
1.0,0,0,0,0,0.02,0.404,-0.02,0.0424,22.7,-0.12,753.0,-12.63,1.0,5103.0,101.0,0.787,0
1.0,0,0,0,0,0.035,0.379,-0.035,0.0756,35.5,-0.15,445.0,-1.55,2.0,5103.0,101.0,0.787,0
1.0,0,0,0,0,0.594,0.326,-0.377,0.0721,38.3,-0.12,568.0,-4.08,4.0,5103.0,101.0,0.787,0
0.996,0,0,0,0,0.018,0.413,-0.018,0.132,66.7,-0.22,233.0,-0.19,1.0,3593.0,71.0,0.491,0
0.974,0,0,0,0,0.377,0.016,-0.029,0.0136,31.4,-1.04,453.0,-2.57,1.0,5522.0,165.0,0.747,0
0.994,0,0,0,0,0.881,0.003,-0.003,0.0213,44.1,-1.49,552.0,-6.71,1.0,6122.0,181.0,0.964,0
1.0,0,0,0,0,0.348,0.098,-0.347,0.0418,17.4,-0.17,850.0,-28.62,1.0,5237.0,157.0,0.826,0
0.959,0,0,0,0,0.035,0.361,-0.035,0.051,5.4,-0.55,669.0,-8.38,1.0,5626.0,89.0,2.057,0
0.994,0,0,0,0,0.957,0.003,-0.689,0.195,60.7,-0.16,559.0,-5.39,2.0,5237.0,157.0,0.826,0
0.0,0,0,0,0,1.081,0.347,-0.119,0.0194,38.1,-2.28,733.0,-20.86,1.0,5697.0,154.0,0.903,0
0.0,0,1,1,1,0.23,0.799,-0.23,0.505,64.2,-0.27,667.0,-12.92,1.0,4947.0,148.0,0.802,1
1.0,0,0,0,0,0.128,0.325,-0.127,0.0554,11.8,-0.05,1160.0,-54.78,1.0,5265.0,73.0,0.81,0
0.0,0,1,0,0,0.211,0.02,-0.041,0.00627,26.1,-1.58,901.0,-46.15,1.0,5532.0,167.0,0.806,1
1.0,0,0,0,0,0.026,0.366,-0.026,0.0324,14.3,-0.26,1221.0,-150.76,1.0,5895.0,164.0,0.94,0
1.0,0,0,0,0,0.196,0.221,-0.196,0.0314,15.0,-0.21,1038.0,-49.59,1.0,5527.0,74.0,0.927,0
1.0,0,0,0,0,0.383,0.081,-0.383,0.0986,23.5,-0.18,622.0,-6.39,2.0,5527.0,74.0,0.927,0
1.0,0,0,0,0,0.9,0.023,-0.633,0.0777,31.7,-0.18,791.0,-16.68,3.0,5527.0,74.0,0.927,0
1.0,0,0,0,0,0.076,0.173,-0.076,0.0382,38.4,-1.35,366.0,-1.34,1.0,5453.0,81.0,1.062,0
0.987,0,0,0,0,0.812,0.048,-0.01,0.209,8.5,-0.52,426.0,-1.38,2.0,5626.0,89.0,2.057,0
0.0,0,1,1,0,0.965,0.13,-0.043,0.0878,28.6,-0.46,1355.0,-244.21,1.0,6126.0,193.0,1.021,1
1.0,0,0,0,0,0.03,0.355,-0.03,0.0417,22.2,-0.29,562.0,-4.92,2.0,5427.0,108.0,0.929,0
0.983,0,0,0,0,0.183,0.165,-0.183,0.0438,23.9,-0.41,450.0,-2.02,1.0,5427.0,108.0,0.929,0
1.0,0,0,0,0,0.209,0.165,-0.209,0.0317,12.8,-0.18,926.0,-36.35,3.0,5427.0,108.0,0.929,0
1.0,0,0,0,0,0.479,0.416,-0.311,0.0297,10.4,-0.13,1253.0,-121.98,4.0,5427.0,108.0,0.929,0
1.0,0,0,0,0,0.036,0.36,-0.036,0.0538,32.1,-0.14,521.0,-2.76,1.0,5067.0,102.0,0.75,0
1.0,0,0,0,0,0.06,0.4,-0.06,0.0392,17.6,-0.08,998.0,-39.02,3.0,5103.0,101.0,0.787,0
