,Galaxy,RA,Dec,Type,BT,Ai,v,ɛ,classes,MainClass,SubClass,Class,ClassInt
420,NGC3370,10 44 23,17 32.3,S S5 1.5,-12.28,0.47,1400.0,78.0,Sx,S,S5,Spiral,0
421,NGC3377,10 45 03,14 15.0,E 6,11.1,0.0,718.0,40.0,Sx,E,6,Elliptical,1
422,NGC3379,10 45 11,12 50.8,E 0,10.33,0.0,893.0,19.0,E7,E,0,Elliptical,1
423,NGC3384,10 45 38,12 53.7,LB15,10.7,0.0,771.0,28.0,S0,LB15,irrelevant,Spiral,0
424,NGC3389,10 45 50,12 47.9,S S5 2.2,12.35,0.5,1261.0,12.0,Sx,S,S5,Spiral,0
425,NGC3390,10 45 44,-31 16.2,L 58 R S 3 U,13.09,0.0,2850.0,100.0,S0,L,58,Irregular,2
426,NGC3395,10 47 02,33 14.7,S S5 2.5,12.4,0.46,1628.0,6.0,Sx,S,S5,Spiral,0
427,NGC3396,10 47 08,33 15.3,S 5,12.6,0.61,1648.0,15.0,Sx,S,5,Spiral,0
428,NGC3403,10 50 14,73 57.4,S 4 3.0:,-12.74,0.6,1244.0,55.0,Sx,S,4,Spiral,0
429,NGC3412,10 48 15,13 40.5,LB25,11.47,0.0,861.0,75.0,S0,LB25,irrelevant,Spiral,0
430,NGC3414,10 48 32,28 14.5,L 1,11.74,0.0,1419.0,20.0,S0,L,1,Irregular,2
431,NGC3415,10 48 52,43 59.0,E 5,12.84,0.0,3301.0,15.0,E5,E,5,Elliptical,1
432,NGC3423,10 48 38,06 06.3,S S5 2.5,11.62,0.32,1010.0,8.0,Sx,S,S5,Spiral,0
433,NGC3430,10 49 25,33 12.9,S R4 1.5,12.15,0.47,1584.0,7.0,Sx,S,R4,Spiral,0
434,NGC3432,10 49 43,36 53.1,S 5 2.5W,11.73,0.81,616.0,7.0,Sx,S,5,Spiral,0
435,NGC3433,10 49 27,10 24.7,S R5 1.3,-12.28,0.31,2711.0,7.0,Sx,S,R5,Spiral,0
436,NGC3437,10 49 54,23 12.0,S S5 3.0U,-12.83,0.67,1283.0,15.0,Sx,S,S5,Spiral,0
437,NGC3445,10 51 34,57 15.3,S S5 3.0,12.8,0.31,1984.0,128.0,Sx,S,S5,Spiral,0
438,NGC3448,10 51 40,54 34.5,I 0 ?,12.15,,1357.0,9.0,I,I,0,Irregular,2
439,NGC3449,10 50 34,-32 39.7,S 1,12.95,0.43,3267.0,120.0,Sx,S,1,Spiral,0
440,NGC3455,10 51 52,17 33.1,S S5 2.0:,-12.81,0.44,1102.0,10.0,Sx,S,S5,Spiral,0
